id,title,body,sentiment,categories,issue_summary,url,classified_by_model,label_actual
48913,[일반]검성 쌔졌다고 좋아하지마세요[1],,positive,"[""클래스밸런스""]",[일반]검성 쌔졌다고 좋아하지마세요[1],https://www.inven.co.kr/board/aion2/6448/21503,,
97424,[잡담]원정 방패색 의미가 머에여?,,neutral,"[""콘텐츠""]",[잡담]원정 방패색 의미가 머에여?,https://www.inven.co.kr/board/aion2/6388/232266,,
42781,[일반]6신기 + 로브 36 졸업[6]사진,,positive,"[""기타""]",[일반]6신기 + 로브 36 졸업[6]사진,https://www.inven.co.kr/board/aion2/6453/13937,,
190991,[잡담]와 나도 900클럽 달성!!!,,positive,"[""기타""]",[잡담]와 나도 900클럽 달성!!!,https://www.inven.co.kr/board/aion2/6388/240894,,
86632,[잡담]응기창멸룡 푸어들 발악하는거 재밌네[2],,positive,"[""기타""]",[잡담]응기창멸룡 푸어들 발악하는거 재밌네[2],https://www.inven.co.kr/board/aion2/6388/229928,,
55274,[잡담]아이온2  유저수준처참 결과나옴,,negative,"[""커뮤니티""]",[잡담]아이온2  유저수준처참 결과나옴,https://www.inven.co.kr/board/aion2/6388/226090,,
198868,[일반]남준이가 팩트잘집네ㅇㅇ 호법은딱 지금이좋아 힐만버프ㄱㄱ사진,,positive,"[""클래스밸런스""]",[일반]남준이가 팩트잘집네ㅇㅇ 호법은딱 지금이좋아 힐만버프ㄱㄱ사진,https://www.inven.co.kr/board/aion2/6451/19259,,
174678,[일반]시스템이 병신 같아서,,negative,"[""기타""]",[일반]시스템이 병신 같아서,https://www.inven.co.kr/board/aion2/6438/19974,,
62599,[잡담]무스펠 한사람 나가면 무슨생각듦?[13]투표,,neutral,"[""기타""]",[잡담]무스펠 한사람 나가면 무슨생각듦?[13]투표,https://www.inven.co.kr/board/aion2/6388/227299,,
137609,[일반]현상황은 서포터가 딜이 약할 이유가 없음 - 탱딜힐 좀 버려 시발사진,,negative,"[""클래스밸런스""]",[일반]현상황은 서포터가 딜이 약할 이유가 없음 - 탱딜힐 좀 버려 시발사진,https://www.inven.co.kr/board/aion2/6448/23674,,
189521,[질문]Pvp pve 장비 펫이해도 등등 같이 하려니 시간이 너무 모자라서[1],,neutral,"[""콘텐츠""]",[질문]Pvp pve 장비 펫이해도 등등 같이 하려니 시간이 너무 모자라서[1],https://www.inven.co.kr/board/aion2/6388/240866,,
128881,[일반]저 궁성 유저인데 지금 대만족입니다 버프 안해주셔도 됩니다,,positive,"[""클래스밸런스"", ""커뮤니티""]",[일반]저 궁성 유저인데 지금 대만족입니다 버프 안해주셔도 됩니다,https://www.inven.co.kr/board/aion2/6450/15719,,
67569,[잡담]아직도 아이온 빨아주는놈들은 물린거지?[4],,neutral,"[""기타""]",[잡담]아직도 아이온 빨아주는놈들은 물린거지?[4],https://www.inven.co.kr/board/aion2/6388/228108,,
30279,[일반]검성 탱커 발언 잘못된거 인정했지? 그럼 호법은?사진,,neutral,"[""클래스밸런스""]",[일반]검성 탱커 발언 잘못된거 인정했지? 그럼 호법은?사진,https://www.inven.co.kr/board/aion2/6451/16416,,
